wavelength	Species	transition	A_coeff	Eu(K)	comments	ref
1.9548460748	HeI	3D-3Po2-2	9.680E+04	275118.3	Blnd24	CLOUDY
1.9548595283	HeI	3D-3Po1-1	1.610E+05	275118.3	Blnd24	CLOUDY
1.9548629661	HeI	3D-3Po1-2	6.450E+03	275118.3	Blnd24	CLOUDY
1.957558983	H2	v=1,J=5->v=0,J=3	4.206E-07	8364.9		MEUDON
2.033757812	H2	v=1,J=4->v=0,J=2	3.981E-07	7584.3		MEUDON
2.058690463	HeI	1S-1Po0-1	1.980E+06	246224.6	Blnd25	CLOUDY
2.073481798	H2	v=2,J=5->v=1,J=3	5.768E-07	13890.2		MEUDON
2.112578756	HeI	3Po-3S2-1	3.620E+06	273796.2	Blnd26	CLOUDY
2.112588563	HeI	3Po-3S1-1	2.170E+06	273796.2	Blnd26	CLOUDY
2.112709360	HeI	3Po-3S0-1	7.240E+05	273796.2	Blnd26	CLOUDY
2.121833725	H2	v=1,J=3->v=0,J=1	3.470E-07	6951.3		MEUDON
2.166120	HI	4-7	3.042E+05	154582.7		CLOUDY
2.223290181	H2	v=1,J=2->v=0,J=0	2.526E-07	6471.4		MEUDON
2.247715578	H2	v=2,J=3->v=1,J=1	4.975E-07	12550.0		MEUDON
2.3743770	HI	5-25	3.128E+02	157550.6		CLOUDY
2.3828230	HI	5-24	3.849E+02	157529.1		CLOUDY
2.406591889	H2	v=1,J=1->v=0,J=1	4.294E-07	6149.0		MEUDON
2.413438823	H2	v=1,J=2->v=0,J=2	3.051E-07	6471.4		MEUDON
2.4163852	HI	5-21	7.598E+02	157445.3		CLOUDY
2.423729703	H2	v=1,J=3->v=0,J=3	2.824E-07	6951.3		MEUDON
2.4313620	HI	5-20	9.751E+02	157408.6		CLOUDY
2.437489361	H2	v=1,J=4->v=0,J=4	2.721E-07	7584.3		MEUDON
2.4490002	HI	5-19	1.268E+03	157366.0		CLOUDY
2.454751431	H2	v=1,J=5->v=0,J=5	2.652E-07	8364.9		MEUDON
2.4699873	HI	5-18	1.675E+03	157316.1		CLOUDY
2.475558987	H2	v=1,J=6->v=0,J=6	2.593E-07	9286.4		MEUDON
2.4952543	HI	5-17	2.249E+03	157257.1		CLOUDY
2.499965526	H2	v=1,J=7->v=0,J=7	2.539E-07	10341.2		MEUDON
2.5260903	HI	5-16	3.079E+03	157186.7		CLOUDY
2.528036366	H2	v=1,J=8->v=0,J=8	2.486E-07	11521.1		MEUDON
2.550985424	H2	v=2,J=1->v=1,J=1	6.378E-07	11789.0		MEUDON
2.559850543	H2	v=1,J=9->v=0,J=9	2.435E-07	12817.3		MEUDON
2.5643270	HI	5-15	4.308E+03	157101.8		CLOUDY
2.569828277	H2	v=2,J=3->v=1,J=3	4.197E-07	12550.0		MEUDON
2.603979860	H2	v=2,J=5->v=1,J=5	3.948E-07	13890.2		MEUDON
2.6126477	HI	5-14	6.185E+03	156998.0		CLOUDY
2.6192083959	2HeI	3D-3Fo3-2	5.740E+03	280938.7	Blnd31	CLOUDY
2.6192092201	8HeI	3D-3Fo2-2	2.010E+05	280938.7	Blnd31	CLOUDY
2.6192101463	3HeI	3D-3Fo3-4	1.290E+06	280938.7	Blnd31	CLOUDY
2.6192112471	6HeI	3D-3Fo3-3	1.050E+05	280938.7	Blnd31	CLOUDY
2.6192120714	2HeI	3D-3Fo2-3	8.530E+05	280938.7	Blnd31	CLOUDY
2.6192219257	8HeI	3D-3Fo1-2	1.090E+06	280938.7	Blnd31	CLOUDY
2.6240849798	3HeI	3Fo-3G3-3	7.020E+04	280939.2	Blnd27	CLOUDY
2.6240870864	8HeI	3Fo-3G3-4	1.310E+06	280939.2	Blnd27	CLOUDY
